                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.45859,                0.59066,                0.89159,                0.84858,                0.74177,                0.80756,                0.57403,                 1.0941,                 1.1769,                 1.2722,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     34,                0.47616,                0.61643,                0.89693,                0.86119,                0.70588,                0.80497,                0.58558,                 1.1084,                 1.1916,                 1.2649,             7.9449e-05,             7.9449e-05,             7.9449e-05
                     35,                0.46011,                0.57056,                0.88878,                0.82653,                0.76471,                0.82758,                0.60417,                 1.0619,                  1.136,                 1.2455,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     36,                0.44989,                0.57782,                0.90159,                0.79035,                0.73529,                0.80932,                0.60965,                 1.0278,                 1.1844,                 1.2522,             7.7113e-05,             7.7113e-05,             7.7113e-05
                     37,                0.44346,                0.58049,                0.88824,                0.93582,                0.64339,                0.80812,                0.60854,                 1.0092,                 1.1767,                 1.2497,             7.5945e-05,             7.5945e-05,             7.5945e-05
                     38,                0.42391,                0.54343,                0.88033,                0.81653,                0.72059,                0.80456,                 0.6013,                 1.0126,                 1.1412,                 1.2457,             7.4777e-05,             7.4777e-05,             7.4777e-05
                     39,                0.44927,                0.54587,                0.89486,                0.90948,                0.67647,                0.79953,                0.58949,                 1.0499,                 1.2091,                 1.2625,             7.3608e-05,             7.3608e-05,             7.3608e-05
                     40,                0.43486,                0.50818,                0.88138,                0.88598,                0.69118,                0.80883,                 0.6095,                 1.0439,                 1.1983,                 1.2395,              7.244e-05,              7.244e-05,              7.244e-05
                     41,                0.42541,                0.50691,                 0.8683,                0.85752,                0.70807,                0.82294,                 0.6151,                 1.0267,                 1.1165,                 1.2396,             7.1272e-05,             7.1272e-05,             7.1272e-05
                     42,                0.40424,                0.48512,                0.87427,                0.82188,                0.76471,                0.84156,                0.62393,                0.99658,                 1.0875,                 1.2132,             7.0104e-05,             7.0104e-05,             7.0104e-05
                     43,                0.42783,                0.50598,                0.88763,                0.74862,                0.80882,                 0.8318,                0.62833,                0.99213,                 1.1336,                  1.208,             6.8936e-05,             6.8936e-05,             6.8936e-05
